0.0000000000000000e+00,0.0000000000000000e+00
7.6923076923076927e-02,3.8461538461538464e-01
1.5384615384615385e-01,7.6923076923076927e-01
2.3076923076923078e-01,1.5384615384615397e-01
3.0769230769230771e-01,5.3846153846153855e-01
3.8461538461538464e-01,9.2307692307692313e-01
4.6153846153846156e-01,3.0769230769230793e-01
5.3846153846153855e-01,6.9230769230769251e-01
6.1538461538461542e-01,7.6923076923077094e-02
6.9230769230769229e-01,4.6153846153846168e-01
7.6923076923076927e-01,8.4615384615384626e-01
8.4615384615384626e-01,2.3076923076923084e-01
9.2307692307692313e-01,6.1538461538461586e-01
