0.0000000000000000e+00,0.0000000000000000e+00
9.0169943749474235e-02,4.1640786499873816e-01
1.8033988749894847e-01,7.9837387624884326e-01
2.3606797749978969e-01,1.8033988749894847e-01
3.2623792124926393e-01,5.6230589874905357e-01
4.1640786499873816e-01,9.4427190999915878e-01
4.7213595499957939e-01,3.2623792124926393e-01
5.6230589874905357e-01,7.0820393249936908e-01
6.1803398874989479e-01,9.0169943749474235e-02
7.0820393249936908e-01,4.7213595499957939e-01
7.9837387624884326e-01,8.5410196624968449e-01
8.5410196624968449e-01,2.3606797749978969e-01
9.4427190999915878e-01,6.1803398874989479e-01
